Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013]
Afghanistan,AFG,CO2 emissions (kt),EN.ATM.CO2E.KT,2676.91,2493.56,1426.463,1375.125,1320.12,1268.782,1199.109,1114.768,1056.096,832.409,781.071,645.392,359.366,583.053,733.4,1015.759,1338.455,1991.181,3927.357,6523.593,8236.082,..,..,..
Albania,ALB,CO2 emissions (kt),EN.ATM.CO2E.KT,7488.014,3971.361,2387.217,2343.213,1928.842,2086.523,2016.85,1543.807,1752.826,2984.938,3021.608,3223.293,3751.341,4294.057,4165.712,4253.72,3865.018,4055.702,4129.042,3879.686,4283.056,..,..,..
Algeria,DZA,CO2 emissions (kt),EN.ATM.CO2E.KT,78895.505,81458.738,82261.811,82474.497,86350.516,94692.941,96566.778,88195.017,107080.067,92118.707,87930.993,84293.329,90853.592,92533.078,89493.135,107127.738,103963.117,112338.545,114619.419,124586.325,123475.224,..,..,..
American Samoa,ASM,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,ADO,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,407.037,425.372,458.375,484.044,513.38,524.381,524.381,531.715,535.382,564.718,575.719,546.383,539.049,539.049,517.047,517.047,..,..,..
Angola,AGO,CO2 emissions (kt),EN.ATM.CO2E.KT,4429.736,4367.397,4418.735,5801.194,3890.687,11012.001,10491.287,7381.671,7308.331,9156.499,9541.534,9732.218,12665.818,9064.824,18793.375,19156.408,22266.024,25151.953,26596.751,27836.197,30417.765,..,..,..
Antigua and Barbuda,ATG,CO2 emissions (kt),EN.ATM.CO2E.KT,300.694,293.36,293.36,308.028,311.695,322.696,322.696,337.364,333.697,348.365,344.698,344.698,363.033,388.702,407.037,410.704,425.372,443.707,458.375,498.712,513.38,..,..,..
Argentina,ARG,CO2 emissions (kt),EN.ATM.CO2E.KT,112613.57,117021.304,121447.373,118609.115,123350.546,122547.473,129217.746,134677.909,137673.848,145488.225,141076.824,132631.723,123266.205,133126.768,156170.196,160951.964,174237.505,180416.4,190056.943,179638.996,180511.742,..,..,..
Armenia,ARM,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,4052.035,2896.93,2966.603,3490.984,2607.237,3278.298,3406.643,3058.278,3465.315,3542.322,3043.61,3428.645,3644.998,4360.063,4382.065,5067.794,5555.505,4352.729,4220.717,..,..,..
Aruba,ABW,CO2 emissions (kt),EN.ATM.CO2E.KT,1840.834,1928.842,1723.49,1771.161,1763.827,1782.162,1811.498,1851.835,1668.485,1683.153,2233.203,2236.87,2255.205,2255.205,2258.872,2273.54,2273.54,2357.881,2288.208,2295.542,2321.211,..,..,..
